ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WAAREEENER","EQ","01-Jan-2026","2,968.10","2,970.00","2,994.30","2,948.00","2,958.00","2,955.30","2,965.77","3,93,109","1,16,58,72,000.60","25,301","1,09,553","27.87"
"WAAREEENER","EQ","02-Jan-2026","2,955.30","2,960.00","2,964.90","2,847.80","2,866.00","2,866.30","2,875.09","16,16,043","4,64,62,62,822.20","88,065","7,12,818","44.11"
"WAAREEENER","EQ","05-Jan-2026","2,866.30","2,864.90","2,864.90","2,706.00","2,713.10","2,714.30","2,740.20","26,29,858","7,20,63,40,978.50","1,51,932","10,24,458","38.95"
"WAAREEENER","EQ","06-Jan-2026","2,714.30","2,710.00","2,727.50","2,597.10","2,637.00","2,634.40","2,653.57","28,12,155","7,46,22,46,155.90","1,50,376","7,78,848","27.70"
"WAAREEENER","EQ","07-Jan-2026","2,634.40","2,644.00","2,679.70","2,607.00","2,675.00","2,673.10","2,642.68","16,23,062","4,28,92,35,453.30","78,083","4,38,049","26.99"
"WAAREEENER","EQ","08-Jan-2026","2,673.10","2,675.80","2,708.70","2,603.80","2,603.80","2,612.30","2,650.37","14,31,988","3,79,53,04,260.80","85,389","3,59,346","25.09"
"WAAREEENER","EQ","09-Jan-2026","2,612.30","2,587.10","2,609.00","2,525.00","2,546.90","2,544.60","2,558.10","17,89,412","4,57,74,97,294.20","1,04,114","4,80,462","26.85"
"WAAREEENER","EQ","12-Jan-2026","2,544.60","2,585.00","2,674.70","2,512.00","2,590.00","2,576.90","2,583.80","26,29,196","6,79,33,18,388.10","1,31,776","4,15,827","15.82"
"WAAREEENER","EQ","13-Jan-2026","2,576.90","2,597.70","2,611.80","2,538.40","2,595.00","2,600.00","2,578.96","11,05,657","2,85,14,43,389.60","54,983","2,33,252","21.10"
"WAAREEENER","EQ","14-Jan-2026","2,600.00","2,598.10","2,648.00","2,550.00","2,558.90","2,560.00","2,589.30","10,67,298","2,76,35,52,170.50","55,123","2,34,469","21.97"
"WAAREEENER","EQ","16-Jan-2026","2,560.00","2,575.00","2,626.70","2,540.50","2,549.00","2,552.20","2,579.04","12,54,418","3,23,51,91,407.30","63,791","2,74,311","21.87"
"WAAREEENER","EQ","19-Jan-2026","2,552.20","2,555.00","2,592.00","2,522.40","2,556.80","2,560.20","2,560.92","12,36,770","3,16,72,66,924.70","52,593","3,44,579","27.86"
"WAAREEENER","EQ","20-Jan-2026","2,560.20","2,602.00","2,604.00","2,491.10","2,505.00","2,506.50","2,536.23","16,23,808","4,11,83,45,039.90","80,095","3,94,673","24.31"
"WAAREEENER","EQ","21-Jan-2026","2,506.50","2,500.00","2,523.90","2,403.00","2,435.70","2,419.00","2,448.93","17,65,392","4,32,33,13,334.80","83,506","3,64,693","20.66"
"WAAREEENER","EQ","22-Jan-2026","2,419.00","2,565.00","2,740.00","2,560.00","2,652.80","2,641.70","2,640.49","99,70,347","26,32,66,46,040.10","3,54,654","11,70,768","11.74"
"WAAREEENER","EQ","23-Jan-2026","2,641.70","2,650.00","2,693.00","2,586.00","2,600.00","2,599.30","2,621.71","24,73,302","6,48,42,72,152.60","1,06,148","4,68,092","18.93"
"WAAREEENER","EQ","27-Jan-2026","2,599.30","2,619.00","2,705.00","2,541.60","2,701.40","2,695.20","2,647.73","20,20,384","5,34,94,37,604.90","90,823","5,38,517","26.65"
"WAAREEENER","EQ","28-Jan-2026","2,695.20","2,700.00","2,774.80","2,700.00","2,749.00","2,749.60","2,741.51","11,37,793","3,11,92,73,341.40","54,920","3,15,107","27.69"
"WAAREEENER","EQ","29-Jan-2026","2,749.60","2,755.00","2,779.90","2,722.20","2,750.00","2,748.50","2,748.37","9,75,417","2,68,08,08,764.00","41,880","3,14,280","32.22"
"WAAREEENER","EQ","30-Jan-2026","2,748.50","2,727.00","2,799.90","2,700.00","2,792.00","2,787.50","2,774.30","9,46,856","2,62,68,59,270.00","45,690","3,20,462","33.84"
"WAAREEENER","EQ","01-Feb-2026","2,787.50","2,800.00","2,849.30","2,546.90","2,639.50","2,647.40","2,728.54","10,71,221","2,92,28,64,040.20","61,567","2,34,265","21.87"
